epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4706.26,1.0856,0.6363,1.07921,0.87682,0.86316,0.87192,0.48876,1.48238,0.80752,1.41514,0.0009308,0.0009308,0.0009308
56,4792.05,1.10271,0.63392,1.06637,0.90885,0.83158,0.86838,0.50609,1.44686,0.83284,1.34241,0.000911,0.000911,0.000911
57,4879.75,1.08034,0.6295,1.0832,0.87791,0.85263,0.87368,0.49793,1.45706,0.79591,1.4284,0.0008912,0.0008912,0.0008912
58,4969.85,1.09074,0.60784,1.06509,0.86908,0.83857,0.85032,0.48896,1.46798,0.83791,1.42565,0.0008714,0.0008714,0.0008714
59,5068.72,1.11735,0.60749,1.0904,0.86102,0.84782,0.87749,0.50814,1.45253,0.79553,1.37229,0.0008516,0.0008516,0.0008516
60,5153.19,1.09461,0.62222,1.06154,0.88734,0.85263,0.87663,0.50618,1.40712,0.80589,1.36754,0.0008318,0.0008318,0.0008318
61,5249.21,1.06149,0.61446,1.06133,0.88494,0.84211,0.85186,0.48336,1.41547,0.83136,1.35742,0.000812,0.000812,0.000812
62,5329.51,1.06689,0.60612,1.03804,0.87925,0.84312,0.86527,0.49777,1.45565,0.8629,1.34894,0.0007922,0.0007922,0.0007922
63,5418.57,1.05755,0.57041,1.0592,0.90473,0.83158,0.8855,0.51358,1.49312,0.83982,1.41081,0.0007724,0.0007724,0.0007724
64,5502.93,1.06344,0.59244,1.07554,0.91325,0.77568,0.87444,0.49664,1.45767,0.81107,1.38376,0.0007526,0.0007526,0.0007526
65,5582.72,1.04921,0.59913,1.06179,0.94505,0.77895,0.8683,0.49275,1.48859,0.83576,1.40206,0.0007328,0.0007328,0.0007328
66,5656.67,1.09131,0.61477,1.08901,0.92823,0.81685,0.85378,0.49024,1.46985,0.79159,1.3898,0.000713,0.000713,0.000713
67,5731.01,0.99635,0.56148,1.02542,0.94979,0.79654,0.86305,0.49547,1.4219,0.78753,1.34831,0.0006932,0.0006932,0.0006932
68,5804.81,1.0305,0.56534,1.0658,0.92565,0.81053,0.8685,0.51157,1.4567,0.80897,1.388,0.0006734,0.0006734,0.0006734
69,5883.52,1.01048,0.57878,1.0514,0.90801,0.83126,0.86732,0.51102,1.40482,0.80944,1.37929,0.0006536,0.0006536,0.0006536
70,5975.04,1.03168,0.59537,1.06846,0.90573,0.84211,0.88696,0.53295,1.39104,0.78373,1.37114,0.0006338,0.0006338,0.0006338
71,6100.2,1.05349,0.59468,1.05409,0.91789,0.82369,0.89001,0.53266,1.41015,0.76779,1.36778,0.000614,0.000614,0.000614
72,6233.78,1.00964,0.55353,1.04859,0.88966,0.84873,0.86867,0.53752,1.38361,0.72115,1.3574,0.0005942,0.0005942,0.0005942
73,6320.44,1.00627,0.55477,1.02908,0.88456,0.82105,0.86256,0.52275,1.38232,0.76471,1.35683,0.0005744,0.0005744,0.0005744
74,6401.01,1.02278,0.56049,1.03213,0.8742,0.82105,0.86973,0.53504,1.378,0.79561,1.35924,0.0005546,0.0005546,0.0005546
75,6478.39,0.95412,0.53141,1.044,0.84272,0.84604,0.87811,0.53302,1.38913,0.76686,1.3517,0.0005348,0.0005348,0.0005348
76,6553.54,0.99843,0.54354,1.04676,0.89116,0.86188,0.88078,0.53218,1.38031,0.75128,1.34913,0.000515,0.000515,0.000515
77,6625.93,0.96319,0.54206,1.01564,0.90605,0.84211,0.8714,0.53572,1.38474,0.74807,1.34686,0.0004952,0.0004952,0.0004952
78,6698.85,0.93562,0.52506,1.00956,0.87361,0.87308,0.87442,0.51438,1.38966,0.7828,1.32734,0.0004754,0.0004754,0.0004754
79,6778.58,0.95497,0.53035,1.02683,0.90868,0.83801,0.85223,0.50447,1.43008,0.78639,1.35208,0.0004556,0.0004556,0.0004556
80,6867.58,0.96946,0.53923,1.04604,0.9186,0.83151,0.86263,0.51747,1.40202,0.80227,1.33643,0.0004358,0.0004358,0.0004358
81,6955.89,0.97888,0.53551,1.02772,0.88677,0.82436,0.86316,0.51557,1.40426,0.84386,1.34321,0.000416,0.000416,0.000416
82,7044.02,0.92284,0.50021,1.01344,0.88545,0.85263,0.87167,0.52703,1.41028,0.82115,1.35034,0.0003962,0.0003962,0.0003962
83,7132.72,0.92311,0.5057,1.01643,0.87941,0.84441,0.87425,0.51848,1.40724,0.79503,1.34265,0.0003764,0.0003764,0.0003764
84,7221.25,0.94326,0.50592,1.02209,0.87165,0.84211,0.8668,0.52059,1.42527,0.81619,1.35235,0.0003566,0.0003566,0.0003566
